"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
"11-K","Annual report of employee stock purchase, savings and similar plans","2019-06-13","2018-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2019-06-13","2018-12-31"
"4","Statement of changes in beneficial ownership of securities","2019-06-11","2019-06-10"
"4","Statement of changes in beneficial ownership of securities","2019-06-04","2019-05-31"
"SD","Form - SD","2019-05-31",""
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-28"
"4","Statement of changes in beneficial ownership of securities","2019-05-30","2019-05-29"
"4","Statement of changes in beneficial ownership of securities","2019-05-15","2019-05-14"
"4","Statement of changes in beneficial ownership of securities","2019-05-09","2019-05-08"
"4","Statement of changes in beneficial ownership of securities","2019-05-07","2019-05-03"
"4","Statement of changes in beneficial ownership of securities","2019-05-02","2019-04-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-04-24","2019-03-31"
"8-K","Current report","2019-04-24","2019-04-24"
"4","Statement of changes in beneficial ownership of securities","2019-04-17","2019-04-03"
"11-K","Annual report of employee stock purchase, savings and similar plans","2019-03-22","2018-12-31"
"4","Statement of changes in beneficial ownership of securities","2019-03-20","2019-03-19"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-18"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
