"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2021-05-11","2021-05-10"
"4","Statement of changes in beneficial ownership of securities","2021-05-11","2021-05-07"
"4","Statement of changes in beneficial ownership of securities","2021-05-11","2021-05-07"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2021-05-11",""
"4","Statement of changes in beneficial ownership of securities","2021-05-10","2021-05-07"
"4","Statement of changes in beneficial ownership of securities","2021-05-10","2021-05-07"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-05-10","2021-03-31"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-05-10",""
"424B5","Prospectus [Rule 424(b)(5)]","2021-05-10",""
"4","Statement of changes in beneficial ownership of securities","2021-05-07","2021-05-06"
"4","Statement of changes in beneficial ownership of securities","2021-05-07","2021-05-06"
"4","Statement of changes in beneficial ownership of securities","2021-05-07","2021-05-05"
"4","Statement of changes in beneficial ownership of securities","2021-05-07","2021-05-05"
"4","Statement of changes in beneficial ownership of securities","2021-05-07","2021-05-05"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-05-06",""
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-04"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-04"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-04"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-03"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-03"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-05-05",""
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-03"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-05-04",""
"4","Statement of changes in beneficial ownership of securities","2021-05-03","2021-04-29"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-04-30","2021-03-31"
"8-K","Current report","2021-04-29","2021-04-29"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-04-26",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-04-23",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-04-19",""
"8-K","Current report","2021-04-15","2021-04-15"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2021-04-15",""
"DEF 14A","Other definitive proxy statements","2021-04-15","2021-05-26"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-04-14",""
"3","Initial statement of beneficial ownership of securities","2021-04-08","2021-04-07"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-04-08",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-03-08",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-03-08",""
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-23","2021-02-19"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-16"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-17","2021-02-12"
"4","Statement of changes in beneficial ownership of securities","2021-02-16","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-16","2021-02-15"
"4","Statement of changes in beneficial ownership of securities","2021-02-16","2021-02-15"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-11",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-11",""
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-11","2020-12-31"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-11",""
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2021-02-11",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-10",""
"4","Statement of changes in beneficial ownership of securities","2021-02-08","2021-02-04"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-05",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2021-02-03",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2021-02-03","2020-12-31"
"8-K","Current report","2021-02-02","2021-02-02"
"8-K","Current report","2021-01-27","2021-01-26"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-01-22",""
"4","Statement of changes in beneficial ownership of securities","2021-01-07","2021-01-05"
"4","Statement of changes in beneficial ownership of securities","2021-01-04","2020-12-30"
"3","Initial statement of beneficial ownership of securities","2020-12-28","2020-12-28"
"4","Statement of changes in beneficial ownership of securities","2020-12-03","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-03","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-11-27","2020-11-24"
"4","Statement of changes in beneficial ownership of securities","2020-11-25","2020-11-23"
"4","Statement of changes in beneficial ownership of securities","2020-11-24","2020-11-20"
"4","Statement of changes in beneficial ownership of securities","2020-11-24","2020-11-20"
"4","Statement of changes in beneficial ownership of securities","2020-11-20","2020-11-18"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-13"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-15"
"4","Statement of changes in beneficial ownership of securities","2020-11-10","2020-11-06"
"4","Statement of changes in beneficial ownership of securities","2020-11-09","2020-11-05"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-04"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-03"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-03"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-03"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"4","Statement of changes in beneficial ownership of securities","2020-11-04","2020-11-02"
"S-8","Securities to be offered to employees in employee benefit plans","2020-11-04",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-10-30","2020-09-30"
"8-K","Current report","2020-10-29","2020-10-29"
"4","Statement of changes in beneficial ownership of securities","2020-10-21","2020-10-19"
"4","Statement of changes in beneficial ownership of securities","2020-10-05","2020-10-01"
"4","Statement of changes in beneficial ownership of securities","2020-10-05","2020-10-01"
"4","Statement of changes in beneficial ownership of securities","2020-09-30","2020-09-28"
"4","Statement of changes in beneficial ownership of securities","2020-09-30","2020-09-28"
"4","Statement of changes in beneficial ownership of securities","2020-09-30","2020-09-28"
"4","Statement of changes in beneficial ownership of securities","2020-09-30","2020-09-28"
"4","Statement of changes in beneficial ownership of securities","2020-09-14","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-09"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-09"
"3","Initial statement of beneficial ownership of securities","2020-09-09","2020-09-09"
"8-K","Current report","2020-09-09","2020-09-09"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-09-01"
"4","Statement of changes in beneficial ownership of securities","2020-08-31","2020-08-27"
"4","Statement of changes in beneficial ownership of securities","2020-08-26","2020-08-24"
"4","Statement of changes in beneficial ownership of securities","2020-08-26","2020-08-25"
"8-K","Current report","2020-08-21","2020-08-21"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-15"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-14"
"4","Statement of changes in beneficial ownership of securities","2020-08-10","2020-08-06"
"4","Statement of changes in beneficial ownership of securities","2020-08-05","2020-08-04"
"4","Statement of changes in beneficial ownership of securities","2020-08-05","2020-08-04"
"4","Statement of changes in beneficial ownership of securities","2020-08-05","2020-08-03"
"4","Statement of changes in beneficial ownership of securities","2020-08-05","2020-08-03"
"4","Statement of changes in beneficial ownership of securities","2020-08-05","2020-08-03"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2020-07-31",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-07-31","2020-06-30"
"8-K","Current report","2020-07-30","2020-07-30"
"4","Statement of changes in beneficial ownership of securities","2020-07-02","2020-07-01"
"4","Statement of changes in beneficial ownership of securities","2020-07-02","2020-07-01"
"4","Statement of changes in beneficial ownership of securities","2020-07-02","2020-06-30"
"8-K","Current report","2020-06-23","2020-06-23"
"8-K","Current report","2020-06-03","2020-06-03"
"424B2","Prospectus [Rule 424(b)(2)]","2020-06-03",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2020-06-01",""
"424B5","Prospectus [Rule 424(b)(5)]","2020-06-01",""
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2020-06-01",""
"SD","Form - SD","2020-06-01",""
"8-K","Current report","2020-05-29","2020-05-27"
"4","Statement of changes in beneficial ownership of securities","2020-05-27","2020-05-22"
"4","Statement of changes in beneficial ownership of securities","2020-05-22","2020-05-20"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"4","Statement of changes in beneficial ownership of securities","2020-05-19","2020-05-15"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2020-05-14",""
"4","Statement of changes in beneficial ownership of securities","2020-05-08","2020-05-06"
"4","Statement of changes in beneficial ownership of securities","2020-05-08","2020-05-06"
"4","Statement of changes in beneficial ownership of securities","2020-05-06","2020-05-04"
"4","Statement of changes in beneficial ownership of securities","2020-05-06","2020-05-04"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2020-05-01",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-05-01","2020-03-31"
"8-K","Current report","2020-04-30","2020-04-30"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2020-04-22",""
"4","Statement of changes in beneficial ownership of securities","2020-04-17","2020-04-15"
"8-K","Current report","2020-04-16","2020-04-16"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2020-04-16",""
"DEF 14A","Other definitive proxy statements","2020-04-16","2020-05-27"
"4","Statement of changes in beneficial ownership of securities","2020-04-07","2020-04-03"
"4","Statement of changes in beneficial ownership of securities","2020-04-03","2020-04-01"
"PRE 14A","Other preliminary proxy statements","2020-03-27","2020-05-27"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-02-25","2020-02-21"
"4","Statement of changes in beneficial ownership of securities","2020-02-25","2020-02-21"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"4","Statement of changes in beneficial ownership of securities","2020-02-19","2020-02-15"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-02-12",""
"4","Statement of changes in beneficial ownership of securities","2020-02-11","2020-02-07"
"4","Statement of changes in beneficial ownership of securities","2020-02-07","2020-02-06"
"4","Statement of changes in beneficial ownership of securities","2020-02-06","2020-02-05"
"4","Statement of changes in beneficial ownership of securities","2020-02-06","2020-02-04"
"4","Statement of changes in beneficial ownership of securities","2020-02-05","2020-02-03"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-02-05",""
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-03"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-01-31"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2020-01-31",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2020-01-31","2019-12-31"
"8-K","Current report","2020-01-30","2020-01-30"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-01-24",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-01-24",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-01-24",""
"4","Statement of changes in beneficial ownership of securities","2020-01-06","2020-01-02"
"4","Statement of changes in beneficial ownership of securities","2019-12-31","2019-12-27"
"4","Statement of changes in beneficial ownership of securities","2019-12-30","2019-12-26"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-02"
"4","Statement of changes in beneficial ownership of securities","2019-11-25","2019-11-21"
"4","Statement of changes in beneficial ownership of securities","2019-11-22","2019-11-20"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"8-K","Current report","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-19","2019-11-15"
"4","Statement of changes in beneficial ownership of securities","2019-11-14","2019-11-12"
"4","Statement of changes in beneficial ownership of securities","2019-10-30","2019-10-28"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2019-10-25",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-10-25","2019-09-30"
"8-K","Current report","2019-10-24","2019-10-24"
"4","Statement of changes in beneficial ownership of securities","2019-10-08","2019-10-04"
"4","Statement of changes in beneficial ownership of securities","2019-09-16","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-12","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-12","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-12","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-12","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-03","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-28","2019-08-26"
"4","Statement of changes in beneficial ownership of securities","2019-08-22","2019-08-20"
"4","Statement of changes in beneficial ownership of securities","2019-08-22","2019-08-20"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-19","2019-08-15"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-02"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-01"
"8-K","Current report","2019-08-01","2019-07-31"
"4","Statement of changes in beneficial ownership of securities","2019-07-31","2019-07-31"
"4","Statement of changes in beneficial ownership of securities","2019-07-31","2019-07-29"
"4","Statement of changes in beneficial ownership of securities","2019-07-31","2019-07-29"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2019-07-26",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-07-26","2019-06-30"
"8-K","Current report","2019-07-25","2019-07-25"
"4","Statement of changes in beneficial ownership of securities","2019-07-12","2019-07-10"
"4","Statement of changes in beneficial ownership of securities","2019-07-12","2019-07-10"
"SD","Form - SD","2019-05-31",""
"8-K","Current report","2019-05-24","2019-05-22"
"4","Statement of changes in beneficial ownership of securities","2019-05-22","2019-05-20"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-03-05"
"3/A","Initial statement of beneficial ownership of securities - amendment","2019-05-17","2019-02-25"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-17","2019-05-15"
"4","Statement of changes in beneficial ownership of securities","2019-05-16","2019-05-14"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-05-15",""
"4","Statement of changes in beneficial ownership of securities","2019-05-10","2019-05-08"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-05-08",""
"4","Statement of changes in beneficial ownership of securities","2019-05-03","2019-05-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-05-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-04-26",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-04-26",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2019-04-26",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-04-26","2019-03-31"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-04-25",""
"8-K","Current report","2019-04-25","2019-04-25"
"8-K","Current report","2019-04-11","2019-04-11"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2019-04-11",""
"DEF 14A","Other definitive proxy statements","2019-04-11","2019-05-22"
"8-K","Current report","2019-04-04","2019-04-04"
"4","Statement of changes in beneficial ownership of securities","2019-03-25","2019-03-21"
"4","Statement of changes in beneficial ownership of securities","2019-03-04","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-02-26","2019-02-22"
"4","Statement of changes in beneficial ownership of securities","2019-02-25","2019-02-21"
"4","Statement of changes in beneficial ownership of securities","2019-02-25","2019-02-25"
"3","Initial statement of beneficial ownership of securities","2019-02-25","2019-02-25"
"8-K","Current report","2019-02-25","2019-02-25"
"4","Statement of changes in beneficial ownership of securities","2019-02-21","2019-02-19"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"4","Statement of changes in beneficial ownership of securities","2019-02-20","2019-02-15"
"5","Annual statement of changes in beneficial ownership of securities","2019-02-13","2018-12-31"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-13",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-13",""
"4","Statement of changes in beneficial ownership of securities","2019-02-12","2019-02-08"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-11",""
"4","Statement of changes in beneficial ownership of securities","2019-02-08","2019-02-06"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-07",""
"EFFECT","Notice of Effectiveness","2019-02-04",""
"EFFECT","Notice of Effectiveness","2019-02-04",""
"4","Statement of changes in beneficial ownership of securities","2019-02-04","2019-02-04"
"4","Statement of changes in beneficial ownership of securities","2019-02-04","2019-02-04"
"3","Initial statement of beneficial ownership of securities","2019-02-04","2019-02-04"
"8-K","Current report","2019-02-04","2019-02-04"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-04",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2019-02-01",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2019-02-01","2018-12-31"
"8-K","Current report","2019-01-31","2019-01-31"
"POS AM","Post-Effective amendments for registration statement","2019-01-10",""
"POS AM","Post-Effective amendments for registration statement","2019-01-10",""
"4","Statement of changes in beneficial ownership of securities","2018-11-30","2018-11-28"
"4","Statement of changes in beneficial ownership of securities","2018-11-21","2018-11-20"
"4","Statement of changes in beneficial ownership of securities","2018-11-21","2018-11-19"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-19","2018-11-15"
"4","Statement of changes in beneficial ownership of securities","2018-11-16","2018-11-14"
"4","Statement of changes in beneficial ownership of securities","2018-11-06","2018-11-02"
"4","Statement of changes in beneficial ownership of securities","2018-10-31","2018-10-29"
"4","Statement of changes in beneficial ownership of securities","2018-10-31","2018-10-29"
"4","Statement of changes in beneficial ownership of securities","2018-10-31","2018-10-29"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2018-10-26",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-10-26","2018-09-30"
"8-K","Current report","2018-10-25","2018-10-25"
"UPLOAD","SEC-generated letter","2018-10-24",""
"CORRESP","Correspondence","2018-10-12",""
"UPLOAD","SEC-generated letter","2018-10-01",""
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-12"
"4","Statement of changes in beneficial ownership of securities","2018-09-10","2018-09-06"
"4","Statement of changes in beneficial ownership of securities","2018-09-07","2018-09-05"
"4","Statement of changes in beneficial ownership of securities","2018-08-31","2018-08-29"
"CORRESP","Correspondence","2018-08-30",""
"4","Statement of changes in beneficial ownership of securities","2018-08-23","2018-08-21"
"CORRESP","Correspondence","2018-08-22",""
"4","Statement of changes in beneficial ownership of securities","2018-08-22","2018-08-20"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
